Movie Title,production_budget_usd,worldwide_gross_usd
Isn't She Great,36000000,2954405
The Pirate,3700000,2956000
Basquiat,3000000,2962051
Married Life,12000000,2975188
Jane Got a Gun,25000000,2976636
Over the Hill to the Poorhouse,100000,3000000
Malone,10000000,3000000
Fengkuang de Shitou,500000,3000000
The East,6500000,3027956
Que Horas Ela Volta?,1200000,3048209
Songcatcher,1800000,3050934
The Widow of St. Pierre,13000000,3058380
Tristram Shandy: A Cock and Bull Story,4750000,3061763
Jawbreaker,3000000,3076820
Your Sister's Sister,120000,3090593
Dear Frankie,4600000,3099369
The Last House on the Left,87000,3100000
Boynton Beach Club,2900000,3127472
Imagine Me & You,7900000,3129471
Beautiful,9000000,3134509
Maurice,2600000,3147950
Rosewater,10000000,3168858
Wordplay,500000,3177636
The Rover,8500000,3180252
Top Hat,609000,3202000
Romance and Cigarettes,11000000,3231251
Letters to God,3000000,3237452
Supercross,30000000,3252550
Peaceful Warrior,10000000,3260179
Resurrecting the Champ,13000000,3260555
Tadpole,150000,3270128
Pathology,8000000,3270974
Only the Strong,6000000,3273588
Romeo Is Bleeding,10000000,3275585
Sunshine State,5600000,3281898
Riding Giants,2600000,3292333
Pootie Tang,3500000,3293258
Obvious Child,1000000,3324070
Heist,8900000,3324184
The Wackness,6000000,3330012
Atlas Shrugged: Part II,10000000,3336053
The Work and the Glory,7500000,3347647
Unknown,3700000,3355048
Crash,10000000,3357324
The Company,15000000,3396508
Child 44,50000000,3434330
Bathory,15000000,3436763
The Ultimate Gift,9000000,3438735
Full Frontal,2000000,3438804
Beneath Hill 60,9000000,3440939
The Homesman,16000000,3442853
Chiamatemi Francesco - Il papa della gente,15000000,3454036
Shattered Glass,6000000,3456602
"Next Stop, Wonderland",1000000,3465703
Talk Radio,4000000,3468572
Camping Sauvage,4600000,3479302
Heaven's Gate,44000000,3484523
Veronica Mars,6000000,3485383
Bathing Beauty,2361000,3500000
State Fair,4500000,3500000
Per un pugno di dollari,200000,3500000
Fireflies in the Garden,8000000,3505823
The Paperboy,12500000,3522153
The Joneses,10000000,3541565
Junebug,1000000,3553253
The Neon Demon,7500000,3559803
Free Fire,10000000,3565109
Pieces of April,300000,3571253
The Sidewalks of New York,1000000,3575308
The Secret of Kells,8000000,3582797
Cats Don't Dance,32000000,3588602
BloodRayne,25000000,3605420
The Killer Inside Me,13000000,3617277
Lesbian Vampire Killers,2000000,3620902
The Iceman,10000000,3623609
Days of Heaven,3000000,3660880
The Day the Earth Stood Still,1200000,3700000
Thirteen Conversations About One Thing,3000000,3705923
Jekyll and Hyde... Together Again,5000000,3707583
Machine Gun Preacher,30000000,3721988
By the Sea,20000000,3727746
Like Crazy,250000,3731489
Hedwig and the Angry Inch,6000000,3747270
Celeste and Jesse Forever,840000,3787689
Green Room,5000000,3807503
Better Luck Tomorrow,250000,3809226
The Real Cancun,4000000,3816594
To Save a Life,500000,3824868
Brick Lane,2500000,3838486
You Kill Me,4000000,3858964
Rules Don’t Apply,26700000,3871448
Clerks,27000,3894240
L'auberge espagnole,5900000,3895664
Warlock: The Armageddon,3000000,3902679
Gracie,9000000,3922043
The Perfect Game,12500000,3931367
Alexander's Ragtime Band,2000000,4000000
You Can't Take It With You,1644000,4000000
Willy Wonka & the Chocolate Factory,3000000,4000000
American Ninja 2: The Confrontation,350000,4000000
8 Heads in a Duffel Bag,3000000,4002884
There Be Dragons,36000000,4020990
Idle Hands,15000000,4023741
King's Ransom,25000000,4049527
Tank Girl,25000000,4064333
Stone,22000000,4065020
Restoration,18000000,4100000
Kama Sutra,3000000,4109095
Choke,3400000,4124277
Flipped,14000000,4127619
The To Do List,1500000,4128828
Whipped,3000000,4142507
Witless Protection,7500000,4151836
Richard III,9200000,4199334
The Damned United,6400000,4199874
Left Behind,18500000,4221341
Holy Motors,4000000,4230426
The Gospel of John,11000000,4234355
Men with Brooms,7500000,4239767
Brick,450000,4243996
Glitter,8500000,4273372
Soul Survivors,14000000,4288246
Eden Lake,2000000,4294373
Per qualche dollaro in più,600000,4300000
Four Rooms,4000000,4301000
Velvet Goldmine,9000000,4313644
Lucky Break,6000000,4316497
PCU,9000000,4333569
Meet the Deedles,24000000,4356126
Bogus,32000000,4357406
The Broadway Melody,379000,4358000
Solitary Man,12500000,4360548
Dark Angel,7000000,4372561
"Synecdoche, New York",20000000,4383538
Simply Irresistible,6000000,4398989
McHale's Navy,42000000,4408420
Inchon,46000000,4408636
Keeping Up with the Steins,5000000,4414753
Don’t Think Twice,3000000,4417983
The Conversation,1600000,4420000
Safety Not Guaranteed,750000,4422318
Passchendaele,20000000,4453327
Geograf globus propil,4000000,4454853
Flawless,27000000,4485485
Only God Forgives,4800000,4494560
Bound by Honor,35000000,4496583
Flash of Genius,20000000,4504111
"Don Gato, el inicio de la pandilla",80000000,4547660
Lilja 4-ever,4500000,4556982
Mumford,28700000,4559569
Flying By,5000000,4568257
Please Give,3000000,4570178
Submarine,1900000,4581937
River's Edge,1900000,4600000
Welcome to Collinwood,12000000,4606284
Lovely and Amazing,250000,4613482
Let's Go to Prison,4000000,4630045
Radio Flyer,35000000,4651977
Killer Joe,10000000,4659110
Demonic,3000000,4668109
Rogue,23000000,4673377
Pi,68000,4678513
On the Line,10000000,4690802
C.H.U.D.,1250000,4700000
"Jeff, Who Lives at Home",10000000,4708127
Miss March,6000000,4713059
Held Up,8000000,4714090
The Other Side of Heaven,7000000,4720371
My Summer of Love,1700000,4727375
Tao Jie,5400000,4728896
"Food, Inc.",1000000,4731944
A Walk on the Moon,14000000,4741987
The Fall of the Roman Empire,19000000,4750000
Hands of Stone,20000000,4754517
Igby Goes Down,9000000,4777465
Slackers,11000000,4814244
Bottle Shock,5000000,4815890
90 Minutes in Heaven,5000000,4816142
"Guten Tag, Ramon",4000000,4854356
Rize,700000,4857731
Galaxina,5500000,4865000
Girl 6,12000000,4880941
Half Nelson,700000,4911725
From Justin to Kelly,12000000,4922166
Hamlet 2,9000000,4934104
Robot & Frank,2500000,4934356
Jakob the Liar,15000000,4956401
Gloria,30000000,4967493
Take Shelter,4750000,4972016
Invaders from Mars,12000000,4984663
"The Beast from 20,000 Fathoms",210000,5000000
Pocketful of Miracles,2900000,5000000
Darling Lili,22000000,5000000
The Ballad of Cable Hogue,3716946,5000000
Bubble Boy,13000000,5002310
Nikita,7000000,5017971
Monty Python and the Holy Grail,400000,5028948
Welcome to the Dollhouse,800000,5034794
The Swindle,10000000,5045359
The Beaver,21000000,5046038
Exotica,1500000,5046118
Swiss Army Man,3000000,5100863
The Hotel New Hampshire,7500000,5142858
The House of Mirth,10000000,5149131
"Paris, je t'aime",13000000,5175088
Formula 51,27000000,5204007
The In Crowd,15000000,5217498
Hollywood Shuffle,100000,5228617
Black and White,10000000,5241315
The Lost City,9600000,5256839
Love Letters,550000,5269990
San Francisco,1300000,5273000
Collide,29200000,5278519
The Runaways,9500000,5278632
Charlie Bartlett,12000000,5295909
Ironclad,25000000,5297411
The Proposition,20000000,5313608
Wild Target,8000000,5314194
C'era una volta il West,5000000,5321508
Equilibrium,20000000,5345869
Rocket Singh: Salesman of the Year,1070000,5348767
A Guy Named Joe,2627000,5363000
Rejsen til Saturn,2700000,5377665
October Baby,1000000,5391992
Diary of the Dead,2750000,5394447
She Wore a Yellow Ribbon,1600000,5400000
1612,12000000,5400624
Monkeybone,75000000,5409517
Human Traffic,3300000,5422740
Tango,4500000,5428387
Split Second,7000000,5430822
Everybody Wants Some,10000000,5437126
Heavenly Creatures,5000000,5438120
Martha Marcy May Marlene,1000000,5438911
Virgin Territory,38000000,5473041
Made,5000000,5476060
Tucker & Dale vs. Evil,5000000,5476793
Slums of Beverly Hills,5000000,5502773
Say It Isn't So,25000000,5516708
Aqua Teen Hunger Force Colon Movie Film for Theaters,750000,5520368
Anomalisa,8000000,5531455
The Brothers Bloom,20000000,5531756
For Your Consideration,12000000,5549923
Once Upon a Time in America,30000000,5564014
Man on Wire,1900000,5617067
The Frozen Ground,19200000,5617460
Monsters,500000,5639730
Genius,17000000,5653176
Underclassman,25000000,5654777
The Pallbearer,8000000,5656388
Megaforce,18000000,5675599
Before Sunrise,2500000,5683371
Kundun,28000000,5686694
Get on the Bus,2400000,5691854
People I Know,20000000,5694213
Who's Your Caddy?,7000000,5694308
Trolljegeren,3500000,5706638
Won't Back Down,19000000,5714913
El crimen de padre Amaro,1800000,5719000
Gallipoli,3000000,5732587
Happiness,3000000,5746453
Sheena,25000000,5778353
Catch a Fire,14000000,5782198
The Skeleton Twins,1000000,5797192
Jab Tak Hai Jaan,9200000,5806666
Miss Sloane,18000000,5823540
Detroit Rock City,16000000,5825314
Ed Wood,18000000,5828466
Night of the Living Dead,4200000,5835247
Light It Up,13000000,5871603
20 Feet From Stardom,1000000,5892466
The Touch,20000000,5918742
Fish Tank,3000000,5922292
Evil Dead II,3500000,5923044
Severance,10000000,5950002
The Return,15000000,5953886
Samsara,4000000,5966671
Rebecca,1288000,6000000
Topaz,4000000,6000000
Dragonslayer,18000000,6000000
Heartbeeps,10000000,6000000
Foolish,1600000,6026908
The Limey,10000000,6030047
Frozen River,1000000,6030129
Megiddo: Omega Code 2,22000000,6047691
Meet the Mormons,2000000,6049171
A Most Violent Year,20000000,6071433
Dylan Dog: Dead of Night,20000000,6093725
"Il buono, il brutto, il cattivo",1200000,6100000
The Border,13500000,6118683
The Mighty,100000,6121582
Mambo Italiano,5500000,6148823
The Fifth Estate,26000000,6154172
UHF,5000000,6157157
Nowhere in Africa,6500000,6173485
College,6000000,6176114
The Straight Story,10000000,6197866
Celebrity,12000000,6200000
Topsy Turvy,20000000,6201757
Rabbit Hole,5000000,6205034
Harsh Times,2000000,6225304
Oldboy,3000000,6239723
Deuces Wild,10000000,6244618
Bleed for This,16000000,6248077
Dick,13000000,6276869
What Planet Are You From?,50000000,6291602
A Sound of Thunder,80000000,6300451
Pirates,40000000,6341825
Transsiberian,15000000,6379575
My Own Private Idaho,2500000,6401336
Against the Ropes,39000000,6429865
High Tension,2850000,6435262
Warriors of Virtue,35000000,6448817
Gods and Monsters,3500000,6451628
Attack the Block,13000000,6459183
The Good Thief,30000000,6460758
Teacher's Pet: The Movie,10000000,6491969
Switchback,38000000,6504442
Lucky You,55000000,6521829
Mother and Child,7000000,6537179
Blood and Chocolate,15000000,6551310
Lost and Found,14000000,6552255
Trash,12000000,6553186
Post Grad,15000000,6561243
Copying Beethoven,11000000,6586324
Grandma's Boy,5000000,6590172
Wish I Was Here,6000000,6591365
Donovan's Reef,2686000,6600000
Duets,16000000,6615452
Swingers,200000,6618578
The Big Bounce,50000000,6626115
It's Kind of a Funny Story,8000000,6632950
Kill the Messenger,5000000,6656705
Roger & Me,140000,6706368
American History X,10000000,6719864
Nine 1/2 Weeks,18000000,6734844
The Forsaken,5000000,6755271
The Train,5800000,6800000
Hang 'em High,1800000,6800000
Bran Nue Dae,6750000,6812530
Moonlight Mile,21000000,6830957
Namastey London,8400000,6831069
Nie yin niang,15000000,6832542
Midnight Special,18000000,6841142
200 Cigarettes,6000000,6852450
Woman Thou Art Loosed,3000000,6879730
Willard,20000000,6882696
Red Sonja,17900000,6905861
Trapped,30000000,6916869
The Spectacular Now,2500000,6916951
The Awakening,4900000,6924321
Strange Wilderness,20000000,6947084
Class of 1984,3250000,6965361
Screwed,12000000,6982680
Spellbound,1500000,7000000
Strangers on a Train,1200000,7000000
The Trouble With Harry,1200000,7000000
The Prisoner of Zenda,12500000,7000000
Raise the Titanic,40000000,7000000
Wasabi,15300000,7000000
Crossover,5600000,7009668
Bound,4500000,7011317
Eraserhead,100000,7012524
Veer-Zaara,7000000,7017859
Harley Davidson and the Marlboro Man,23000000,7018525
An American Carol,20000000,7022183
La Cara Oculta,2600000,7033931
Rescue Dawn,10000000,7037886
The Adventures of Pluto Nash,100000000,7094995
Force 10 from Navarone,5000000,7100000
Gigli,54000000,7126002
Hamlet,18000000,7129670
She's Gotta Have It,175000,7137502
The Hoax,25000000,7164995
Obsluhoval jsem anglického krále,4900000,7174984
Troop Beverly Hills,18000000,7190505
Singin' in the Rain,2540000,7200000
Life Before Her Eyes,12000000,7203439
Under the Skin,13300000,7229933
Phantasm II,3000000,7282851
Black Nativity,17500000,7285135
Phat Girlz,3000000,7301115
The Young Messiah,16800000,7313697
Morgan,8000000,7315248
Witchboard,2000000,7369373
Requiem for a Dream,4500000,7389233
A Scanner Darkly,20000000,7405084
Compadres,3000000,7445044
Danny Collins,10000000,7501132
Donnie Darko,4500000,7503672
The Jerky Boys,4000000,7555256
Club Dread,8500000,7573551
Take Me Home Tonight,19000000,7576604
Ong-Bak 2,15000000,7583050
The Immigrant,16000000,7585011
The Hustler,2000000,7600000
The Big Year,41000000,7684524
Kevin Hart: Laugh at My Pain,750000,7712436
Dheepan,9000000,7714549
The Hunting Party,40000000,7729552
DOA: Dead or Alive,30000000,7755686
Smoke Signals,2000000,7756617
Real Women Have Curves,3000000,7777790
Nowhere Boy,1900000,7785229
Inside Job,2000000,7799257
Gentleman's Agreement,2000000,7800000
Sands of Iwo Jima,1000000,7800000
Tupac Resurrection,300000,7808524
Venus,6000000,7818479
Outside Providence,7000000,7824358
The Sweeney,4500000,7838405
Bad Words,10000000,7843145
Cedar Rapids,10000000,7862131
Serial Mom,13000000,7881335
Centurion,15000000,7885048
Teen Wolf Too,3000000,7888000
The Alamo,12000000,7900000
Dazed and Confused,6900000,7950889
The Sweet Hereafter,5000000,7951247
Impostor,40000000,7974607
"20,000 Leagues Under the Sea",200000,8000000
Cat People,134000,8000000
Annie Get Your Gun,3768785,8000000
A Streetcar Named Desire,1800000,8000000
High Noon,730000,8000000
The Man Who Shot Liberty Valance,3200000,8000000
Sweet Charity,20000000,8000000
Robin and Marian,5000000,8000000
Terror Train,3500000,8000000
The Texas Chainsaw Massacre 2,4700000,8025872
Connie & Carla,20000000,8047525
Woo,13000000,8064972
Animal Kingdom,4200000,8078683
Things We Lost in the Fire,16000000,8120148
Firestorm,19000000,8123860
Birthday Girl,13000000,8130727
Irreversible,5400000,8133256
Code Name: The Cleaner,20000000,8135024
A Simple Wish,28000000,8165213
City Island,6000000,8173486
Alone in the Dark,20000000,8178569
The Misfits,4000000,8200000
Sardaar Ji,2700000,8200000
Funny Games,15000000,8200127
La véritable histoire du Chat Botté,25000000,8208594
The Children of Huang Shi,20000000,8221700
Hoot,15000000,8224998
White Noise 2: The Light,10000000,8243567
Hard Candy,950000,8267066
Shadow of the Vampire,8000000,8279017
Proof,20000000,8284331
Beyond the Sea,24000000,8292914
Chasing Mavericks,20000000,8300821
Bug,4000000,8302995
The Love Letter,15000000,8322608
Bon Voyage,20000000,8361736
A Street Cat Named Bob,8000000,8370555
The Last Temptation of Christ,7000000,8373585
Death to Smoochy,50000000,8374062
The Importance of Being Earnest,15000000,8378141
Bones,10000000,8378853
Meteor,16000000,8400000
Pushing Tin,33000000,8408835
Play it to the Bone,24000000,8427204
John Carpenter's Ghosts of Mars,28000000,8434601
Casa de mi Padre,6000000,8446952
Shut In,10000000,8457974
Big Trouble,45000000,8488871
The Warrior's Way,42000000,8514325
Albert Nobbs,7500000,8539003
De battre mon coeur s'est arrêté,5500000,8589831
Our Brand is Crisis,28000000,8592432
Xinhai geming,30000000,8593154
How She Move,17000000,8607815
L'illusionniste,17000000,8609949
MacGruber,10000000,8629895
The Machinist,5000000,8655397
American Splendor,2000000,8685632
Inherent Vice,20000000,8692898
Running With Scissors,12000000,8706701
Suspect Zero,27000000,8712564
Whatever it Takes,15000000,8735529
This is England,2380000,8739576
Ghost World,5500000,8761608
The Rocker,15000000,8767338
Battle for the Planet of the Apes,1800000,8800000
Body Double,10000000,8801940
Warlock,7000000,8824553
Barney's Version,30000000,8845575
The Inkwell,8000000,8864699
The Collection,10000000,8890094
"Mystery, Alaska",28000000,8891623
Control,6400000,8902141
Brainstorm,15000000,8921050
Cadillac Records,12000000,8942516
Cube,250000,8969065
Ben-Hur,3900000,9000000
Mr. Smith Goes To Washington,1500000,9000000
Love Me Tender,1000000,9000000
Beyond the Valley of the Dolls,1000000,9000000
Red River,3000000,9012000
Trippin',3000000,9017070
Metallica Through the Never,18000000,9082906
Meet the Blacks,900000,9097072
Fantasia 2000 (Theatrical Release),80000000,9103630
Mientras duermes,5000000,9109597
The Valley of Decision,2160000,9132000
Dr. Strangelove,1800000,9164370
What's Eating Gilbert Grape,11000000,9170214
Boom Town,2000000,9172000
Return of the Living Dead Part II,6200000,9205924
Everybody's Fine,20000000,9208876
Lolita,2000000,9250000
Le nom des gens,4600000,9261711
Me and Earl and the Dying Girl,8000000,9266180
Stone Cold,25000000,9286314
Serbuan maut,1100000,9297407
Promised Land,15000000,9300336
Peeples,15000000,9307166
On the Road,25000000,9313302
Salvando al Soldado Perez,4500000,9330465
Kissing Jessica Stein,1500000,9345061
The Martian Child,27000000,9352089
Super Babies: Baby Geniuses 2,20000000,9355369
Ernest et Celestine,12500000,9376444
Mad Hot Ballroom,500000,9387581
Sleepover,10000000,9408183
Secretary,4000000,9413956
Veronica Guerin,17000000,9438074
Ta Ra Rum Pum,7400000,9443864
Belka i Strelka. Zvezdnye sobaki,25000000,9445081
The Libertine,22000000,9448623
The Station Agent,500000,9470209
Thirteen,2000000,9505996
All the King's Men,55000000,9521458
Shade,6800000,9533964
Popstar: Never Stop Never Stopping,20000000,9537120
It's a Wonderful Life,3180000,9576159
The Dark Half,15000000,9579068
On the Waterfront,910000,9600000
Me and You and Everyone We Know,2000000,9615464
Winter in Wartime,5800000,9662214
The Perfect Match,5000000,9669521
Miracle at St. Anna,45000000,9676497
Conquest of the Planet of the Apes,1700000,9700000
Somewhere in Time,5100000,9709597
Running Scared,17000000,9729088
Paa,4300000,9791282
Jade,50000000,9812870
The Express,37500000,9813309
Dudley Do-Right,22000000,9818792
3 Strikes,4000000,9821335
Brazil,15000000,9930649
Airlift (2016),4400000,9969237
The Deep End,3000000,9981635
Judgment at Nuremberg,3000000,10000000
55 Days at Peking,17000000,10000000
Hud,2500000,10000000
Maniac,350000,10000000
King Kong,672000,10000650
Lucky Numbers,65000000,10014234
Le Violon rouge,10000000,10019109
Dirty Work,13000000,10020081
The Promise,90000000,10020889
For Greater Glory,12000000,10026255
Godzilla 2000,1000000,10037390
Mrs. Winterbourne,25000000,10039566
Elephant,3000000,10051516
Cyrus,7000000,10062896
Taking Woodstock,29000000,10066366
Duplex,40000000,10070651
The Wash,4000000,10097096
Bernie,6000000,10106975
Away We Go,21000000,10108016
ABCD (Any Body Can Dance),1900000,10137234
Lovesick,10100000,10143618
Bats,6500000,10155691
Punisher: War Zone,35000000,10157534
Sexy Beast,4300000,10158355
We Are Your Friends,2000000,10166209
Next Day Air,3000000,10172519
Henry V,9000000,10176701
Woman on Top,8000000,10192613
Saved!,5000000,10206551
Snabba Cash,4300000,10212403
White Squall,38000000,10229300
Oddball,7000000,10237239
Facing the Giants,100000,10243159
I Got the Hook-Up!,3500000,10317779
Knock Off,35000000,10319915
The Newton Boys,27000000,10341093
The Scarlet Letter,50000000,10359006
Town & Country,105000000,10364769
All is Lost,8500000,10386814
Thunder and the House of Magic,34000000,10392666
The Man,20000000,10393696
Head Over Heels,14000000,10397365
Moby Dick,4500000,10400000
Elmer Gantry,3000000,10400000
Sex Drive,19000000,10412485
First Daughter,30000000,10419084
The Brothers McMullen,50000,10426506
LOL,11000000,10431506
Dangerous Liaisons,24200000,10447579
Casablanca,1039000,10462500
Steamboy,20000000,10468867
The Collector,3000000,10473836
Home Fries,15000000,10513979
Moms’ Night Out,5000000,10537341
We're No Angels,20000000,10555348
Pollock,6000000,10557291
Mad City,50000000,10561038
Three to Tango,20000000,10570375
Drop Dead Gorgeous,10000000,10571408
The Great Raid,60000000,10597070
Return to Oz,27000000,10618813
The Virgin Suicides,6000000,10619770
The Boondock Saints 2: All Saints Day,8000000,10629320
The Apparition,17000000,10637281
The Savages,9000000,10642023
The End of the Affair,23000000,10660147
Ghost Dog: The Way of the Samurai,2000000,10672492
The Astronaut's Wife,34000000,10672566
Moon,5000000,10676073
Deconstructing Harry,20000000,10686841
RoboCop 3,22000000,10696210
Universal Soldier II: The Return,40000000,10717421
Glengarry Glen Ross,12500000,10725228
Gettysburg,25000000,10731997
Not Easily Broken,5000000,10732909
The Belko Experiment,5000000,10744134
The Beastmaster,5000000,10751126
Prom,8000000,10763183
New York Stories,15000000,10763469
We Need to Talk About Kevin,7000000,10765283
The Night Listener,4000000,10770993
Silver Bullet,7000000,10803211
You Can Count on Me,1200000,10827356
Get Low,7000000,10828305
The Hole,7500000,10834406
Here on Earth,15000000,10845127
Extract,7500000,10849158
The Darkness,4000000,10898293
What the #'! Do We Know,4000000,10941801
Black Snake Moan,15000000,10951153
The Birth of a Nation,110000,11000000
The Lost Weekend,1250000,11000000
Show Boat,2300000,11000000
Solomon and Sheba,5000000,11000000
Pat Garrett and Billy the Kid,4638783,11000000
A Farewell To Arms,5000000,11014685
Jonah Hex,47000000,11022696
Krush Groove,3000000,11052713
Big Trouble in Little China,25000000,11100000
Brokedown Palace,25000000,11115766
The Cooler,4000000,11131455
The Astronaut Farmer,13000000,11141213
Barney's Great Adventure,15000000,11156471
Fun Size ,14000000,11166615
Never Let Me Go,15000000,11173718
The Squid and the Whale,1500000,11191423
Deep Rising,45000000,11203026
Superman IV: The Quest for Peace,17000000,11227824
Stop-Loss,25000000,11229035
Before Sunset,2000000,11234552
Straw Dogs,25000000,11253821
Son of Rambow: A Home Movie,2000000,11263263
Chill Factor,34000000,11263966
Frances Ha,3000000,11267511
Lars and the Real Girl,12500000,11277119
Water,3000000,11322573
Snow Flower and the Secret Fan,6000000,11348205
Reign of Assassins,14000000,11354230
Sphinx,10000000,11400000
Beyond Borders,60000000,11427090
The Sessions,1000000,11495204
Turbulence,55000000,11532774
Tsotsi,3000000,11537539
The Cookout,16000000,11540112
The Legend of Drunken Master,2000000,11546543
The Order,35000000,11559747
Wing Commander,30000000,11578022
Banlieue 13,15000000,11599903
Lifeforce,25000000,11603545
The Muse,15000000,11614954
Dum Maaro Dum,5200000,11633427
The Adventures of Elmo in Grouchland,17000000,11634458
Halloween 5: The Revenge of Michael Myers,6000000,11642254
Quills,13500000,11732088
Cah,13700000,11738256
The Great Escape,4000000,11744471
3 Ninjas Kick Back,20000000,11744960
Layer Cake,6500000,11745931
Micmacs,42000000,11756922
Shopgirl,7500000,11758418
Seeking a Friend for the End of the World,10000000,11766959
Hoop Dreams,700000,11768371
The Longshots,23000000,11778396
Tales from the Hood,6000000,11784569
The Rules of Attraction,4000000,11799060
Bloodsport,1500000,11806119
The Thirteenth Floor,16000000,11810854
Ratchet and Clank,20000000,11813410
Getaway,18000000,11813989
Conviction,12500000,11826980
Chloe,13000000,11831131
Narc,7500000,11843260
Mulholland Drive,15000000,11919578
End of the Spear,10000000,11924041
"4 luni, 3 saptamani si 2 zile",900000,11993156
Harper,3500000,12000000
Sorcerer,21600000,12000000
In Dreams,30000000,12017369
Harry Brown,7300000,12023606
How to Lose Friends & Alienate People,28000000,12031443
Dave Chappelle's Block Party,3000000,12051924
Holy Man,60000000,12069719
Stoker,12000000,12079308
Office Space,10000000,12179708
Confidence,15000000,12212417
Abandon,25000000,12219367
The Lunchbox,1700000,12231500
Lone Wolf McQuade,5000000,12232628
Låt den rätte komma in,4500000,12247682
Whiteout,35000000,12254746
Dark Blue,15000000,12262065
My Life Without Me,2500000,12267275
Chasing Liberty,23000000,12291975
Escape from the Planet of the Apes,2500000,12300000
True Romance,12500000,12309980
Street Fighter: The Legend of Chun-Li,50000000,12335036
The Interview,44000000,12342632
Soul Men,40000000,12345883
Ready to Rumble,24000000,12372410
The Andromeda Strain,6500000,12376563
I'm Not There,20000000,12397613
Undisputed,20000000,12398628
Bella,3300000,12405473
Nueve Reinas,1500000,12412889
Bad Lieutenant: Port of Call New Orleans,25000000,12413949
Knockaround Guys,15000000,12419700
Hot Tub Time Machine 2,14000000,12452601
War and Peace,6000000,12500000
Zoom,35000000,12506188
Breakin' All the Rules,9000000,12512317
Sorority Boys,12000000,12516222
People Like Us,16000000,12519804
Gattaca,36000000,12532777
Love Jones,10000000,12554569
Bachelorette,3000000,12577401
Gossip,14000000,12591270
Diner,5000000,12592907
Frenzy,3500000,12600000
Extreme Ops,40000000,12624471
Chasing Papi,9000000,12657377
Idlewild,15000000,12669914
The Omega Code,7200000,12678312
"Bon Cop, Bad Cop",8000000,12740705
Mystic Pizza,6000000,12793213
The Nun's Story,3500000,12800000
Highlander: Endgame,15000000,12801190
Marvin's Room,23000000,12803305
Unfinished Business,35000000,12819501
Deception,25000000,12850033
Highlander,16000000,12900000
Mary Reilly,47000000,12900000
Living Out Loud,12000000,12905901
Gods and Generals,55000000,12923936
Slither,15250000,12930343
The Green Inferno,1000000,12931569
April Fool's Day,5000000,12947763
Lone Star,5000000,12961389
Bandslam,20000000,12967829
Torn Curtain,3000000,13000000
The Wiz,24000000,13000000
They Live,4000000,13000000
Kinsey,11000000,13000959
In Cold Blood,3500000,13007551
The Crew,23000000,13019253
Crooklyn,14000000,13024170
Angela's Ashes,25000000,13038660
Ghosts of Mississippi,36000000,13052741
The Way of the Gun,9000000,13061935
The Ice Pirates,9000000,13075390
Hillary’s America: The Secret History of the Democratic Party,5000000,13099931
To Kill A Mockingbird,2000000,13129846
Akmareul Boatda,6000000,13168809
The Honeymooners,27000000,13174426
Family Plot,3000000,13200000
Anything Else,18000000,13203044
I Think I Love My Wife,14000000,13205411
FearDotCom,40000000,13208023
In the Name of the King: A Dungeon Siege Tale,60000000,13233220
The Pirates Who Don't Do Anything: A VeggieTales Movie,15000000,13248444
Vera Drake,11000000,13353855
Bullets Over Broadway,20000000,13383747
The Legend of the Lone Ranger,18000000,13400000
Secrets & Lies,4500000,13417292
While We're Young,10000000,13423176
The Lords of Dogtown,25000000,13424365
Chasseurs de dragons,17000000,13446115
The History Boys,3700000,13447998
Los tres entierros de Melquiades Estrada,15000000,13454474
Le Havre,5500000,13480196
The Deep End of the Ocean,40000000,13508635
The Little Vampire,22000000,13555988
Tomcats,11000000,13558739
Redemption,23000000,13593473
Osmosis Jones,70000000,13596911
American Outlaws,35000000,13601109
Sydney White,16500000,13636339
The Gunman,40000000,13644292
Mutiny on The Bounty,19000000,13680000
Hey Arnold! The Movie,10000000,13684949
Fear and Loathing in Las Vegas,18500000,13711903
The Ladies Man,11000000,13719474
One Night with the King,20000000,13725032
Highlander III: The Sorcerer,26000000,13738574
Blow Out,18000000,13747234
The House of the Dead,7000000,13767816
Juwanna Mann,15600000,13771817
She's the One,3500000,13795053
"New York, New York",14000000,13800000
The Man Who Knew Too Little,20000000,13801755
The Spanish Prisoner,10000000,13835130
My Stepmother Is an Alien,16000000,13854000
Religulous,2500000,13881317
Waltz with Bashir,2000000,13912289
Stealing Harvard,25000000,13973532
Creepshow 2,3500000,14000000
Def Jam's How To Be a Player,12000000,14010363
How to Deal,16000000,14108518
Poltergeist III,9500000,14114000
Little Children,14000000,14121177
In the Land of Women,10500000,14140402
Dirty Pretty Things,10000000,14156753
Labor Day,18000000,14189810
Buffy the Vampire Slayer,7000000,14231669
The Return of the Living Dead,4000000,14237880
Freddy Got Fingered,15000000,14249005
Josie and the Pussycats,22000000,14252830
Sukkar banat,1600000,14253760
The Messenger: The Story of Joan of Arc,50000000,14271297
I Dreamed of Africa,34000000,14291999
Ballistic: Ecks vs. Sever,70000000,14294842
Do You Believe?,2300000,14305540
Beginners,3200000,14314407
Tropa de Elite,6537890,14319195
Turistas,10000000,14321070
Hot Rod,25000000,14334401
Friday the 13th Part VIII: Jason Takes Manhattan,5000000,14343976
Memoirs of an Invisible Man,40000000,14358033
Ishtar,40000000,14375181
Snow Falling on Cedars,36000000,14378353
Tea with Mussolini,14000000,14395874
